line_ref,route_short_name,operator_id,operator_name,lat,lon,bearing,velocity,recorded_at
3695,3695,3,Dan,32.793091,34.959557,236,29.0,2026-04-19T14:35:42+00:00
3695,3695,3,Dan,32.790298,34.961525,90,25.0,2026-04-19T14:35:42+00:00
3695,3695,3,Dan,32.819801,34.993771,128,0.0,2026-04-19T14:35:42+00:00
3695,3695,3,Dan,32.788788,35.000942,228,0.0,2026-04-19T14:35:34+00:00
3695,3695,3,Dan,32.785339,34.995171,90,11.0,2026-04-19T14:35:38+00:00
3697,3697,3,Dan,33.295864,34.469318,144,0.0,2026-04-19T14:30:45+00:00
3697,3697,3,Dan,32.787949,35.000881,72,7.0,2026-04-19T14:35:14+00:00
3697,3697,3,Dan,32.821098,34.986721,292,0.0,2026-04-19T14:35:37+00:00
3697,3697,3,Dan,32.830853,34.988716,292,31.0,2026-04-19T14:34:59+00:00
3651,3651,3,Dan,32.784439,35.016361,256,0.0,2026-04-19T14:34:37+00:00
3651,3651,3,Dan,32.822269,34.992783,316,0.0,2026-04-19T14:35:04+00:00
3656,3656,3,Dan,31.717039,35.99926,142,0.0,2026-04-19T14:35:03+00:00
3656,3656,3,Dan,32.793777,35.016235,138,0.0,2026-04-19T14:35:16+00:00
3659,3659,3,Dan,32.776619,35.02784,62,0.0,2026-04-19T14:26:58+00:00
3659,3659,3,Dan,32.801407,35.011059,324,0.0,2026-04-19T14:35:01+00:00
3641,3641,3,Dan,32.789146,35.019093,326,0.0,2026-04-19T14:34:42+00:00
3641,3641,3,Dan,32.824718,34.987389,292,42.0,2026-04-19T14:35:11+00:00
3644,3644,3,Dan,32.820618,34.995911,132,0.0,2026-04-19T14:35:41+00:00
3644,3644,3,Dan,32.808392,35.001423,138,0.0,2026-04-19T14:35:01+00:00
3644,3644,3,Dan,32.794136,35.012714,138,0.0,2026-04-19T14:35:22+00:00
3662,3662,3,Dan,32.791428,35.022732,130,0.0,2026-04-19T14:34:41+00:00
3662,3662,3,Dan,32.794682,35.002914,302,0.0,2026-04-19T14:33:59+00:00
3662,3662,3,Dan,32.775814,35.008793,358,0.0,2026-04-19T14:25:17+00:00
3612,3612,3,Dan,31.716145,35.999947,244,0.0,2026-04-19T14:34:46+00:00
3612,3612,3,Dan,32.829647,35.08456,216,0.0,2026-04-19T14:35:36+00:00
3612,3612,3,Dan,32.832623,35.074444,342,8.0,2026-04-19T14:35:21+00:00
3612,3612,3,Dan,32.81847,35.055435,306,0.0,2026-04-19T14:34:51+00:00
3614,3614,3,Dan,32.847115,35.063023,86,8.0,2026-04-19T14:35:43+00:00
3614,3614,3,Dan,32.839638,35.090405,292,32.0,2026-04-19T14:35:39+00:00
3614,3614,3,Dan,32.839981,35.095421,208,0.0,2026-04-19T14:35:41+00:00
3616,3616,3,Dan,32.806065,34.997154,162,0.0,2026-04-19T14:35:32+00:00
3616,3616,3,Dan,32.790207,34.988331,78,32.0,2026-04-19T14:35:41+00:00
3617,3617,3,Dan,32.807617,34.992393,328,0.0,2026-04-19T14:35:04+00:00
3619,3619,3,Dan,32.86182,35.092995,322,0.0,2026-04-19T14:35:40+00:00
3619,3619,3,Dan,32.824055,35.082451,256,0.0,2026-04-19T14:35:39+00:00
3619,3619,3,Dan,32.816868,35.078793,224,0.0,2026-04-19T14:35:36+00:00
3619,3619,3,Dan,32.8437,35.063248,30,34.0,2026-04-19T14:35:30+00:00
3619,3619,3,Dan,32.84433,35.06176,26,0.0,2026-04-19T14:35:14+00:00
3600,3600,3,Dan,32.80584,35.000748,180,0.0,2026-04-19T14:25:25+00:00
3600,3600,3,Dan,31.717564,35.998547,142,0.0,2026-04-19T14:35:09+00:00
3604,3604,3,Dan,32.861328,35.09314,82,20.0,2026-04-19T14:35:16+00:00
3604,3604,3,Dan,32.84483,35.091965,96,0.0,2026-04-19T14:35:16+00:00
3604,3604,3,Dan,32.839451,35.081238,304,0.0,2026-04-19T14:35:40+00:00
3606,3606,3,Dan,32.854645,35.080025,168,19.0,2026-04-19T14:35:42+00:00
3606,3606,3,Dan,32.839218,35.081619,130,0.0,2026-04-19T14:35:32+00:00
3606,3606,3,Dan,32.856033,35.094883,186,25.0,2026-04-19T14:35:38+00:00
3633,3633,3,Dan,32.821648,34.993107,118,9.0,2026-04-19T14:35:00+00:00
3633,3633,3,Dan,32.816196,35.000885,146,0.0,2026-04-19T14:27:34+00:00
3633,3633,3,Dan,32.786354,35.007778,114,16.0,2026-04-19T14:35:09+00:00
3633,3633,3,Dan,32.788082,35.018909,108,0.0,2026-04-19T14:35:43+00:00
3636,3636,3,Dan,32.788151,35.000626,76,36.0,2026-04-19T14:35:24+00:00
3636,3636,3,Dan,32.820053,34.993027,298,37.0,2026-04-19T14:35:07+00:00
3639,3639,3,Dan,32.831478,34.96727,294,0.0,2026-04-19T14:35:20+00:00
3639,3639,3,Dan,32.819981,34.999119,128,0.0,2026-04-19T14:35:13+00:00
3639,3639,3,Dan,32.807735,35.00489,156,0.0,2026-04-19T14:34:48+00:00
3639,3639,3,Dan,32.777935,35.022305,130,0.0,2026-04-19T14:35:43+00:00
3620,3620,3,Dan,32.845119,35.091576,116,0.0,2026-04-19T14:35:41+00:00
3624,3624,3,Dan,32.808559,35.001263,132,0.0,2026-04-19T14:35:41+00:00
34637,34637,37,Electra Afikim,32.310009,34.881427,196,29.0,2026-04-19T13:55:41+00:00
34620,34620,5,Egged,32.059326,34.863613,332,0.0,2026-04-19T14:35:15+00:00
34620,34620,5,Egged,32.067497,34.848755,244,0.0,2026-04-19T14:30:54+00:00
34620,34620,5,Egged,32.071648,34.797512,286,25.0,2026-04-19T14:22:41+00:00
